tier,PLAYER NAME,position_rank
1,Ja'Marr Chase,WR1
1,Bijan Robinson,RB1
1,Jahmyr Gibbs,RB2
1,Justin Jefferson,WR2
1,Saquon Barkley,RB3
1,CeeDee Lamb,WR3
2,Malik Nabers,WR4
2,Puka Nacua,WR5
2,Nico Collins,WR6
2,Amon-Ra St. Brown,WR7
2,Christian McCaffrey,RB4
2,Derrick Henry,RB5
2,Brian Thomas Jr.,WR8
2,Ashton Jeanty,RB6
2,De'Von Achane,RB7
3,Drake London,WR9
3,A.J. Brown,WR10
3,Brock Bowers,TE1
3,Jonathan Taylor,RB8
3,Josh Jacobs,RB9
3,Bucky Irving,RB10
3,Chase Brown,RB11
3,Trey McBride,TE2
3,Ladd McConkey,WR11
3,Kyren Williams,RB12
3,Josh Allen,QB1
4,Lamar Jackson,QB2
4,Tee Higgins,WR12
4,Jaxon Smith-Njigba,WR13
4,Tyreek Hill,WR14
4,Garrett Wilson,WR15
4,George Kittle,TE3
4,Davante Adams,WR16
4,Jayden Daniels,QB3
4,Mike Evans,WR17
4,Jalen Hurts,QB4
4,Breece Hall,RB13
4,Kenneth Walker III,RB14
4,James Cook,RB15
4,Omarion Hampton,RB16
4,Marvin Harrison Jr.,WR18
4,Terry McLaurin,WR19
4,Alvin Kamara,RB17
5,DJ Moore,WR20
5,Joe Burrow,QB5
5,Chuba Hubbard,RB18
5,DK Metcalf,WR21
5,James Conner,RB19
5,Courtland Sutton,WR22
5,DeVonta Smith,WR23
5,Jameson Williams,WR24
5,Zay Flowers,WR25
5,Tetairoa McMillan,WR26
5,TreVeyon Henderson,RB20
5,David Montgomery,RB21
5,Jaylen Waddle,WR27
5,Xavier Worthy,WR28
5,Rashee Rice,WR29
5,George Pickens,WR30
5,D'Andre Swift,RB22
5,Sam LaPorta,TE4
5,Calvin Ridley,WR31
6,Tony Pollard,RB23
6,RJ Harvey,RB24
6,Patrick Mahomes II,QB6
6,Isiah Pacheco,RB25
6,Aaron Jones Sr.,RB26
6,Travis Hunter,WR32
6,Chris Olave,WR33
6,T.J. Hockenson,TE5
6,Baker Mayfield,QB7
6,Kaleb Johnson,RB27
6,Jerry Jeudy,WR34
6,Brian Robinson Jr.,RB28
6,Joe Mixon,RB29
6,Rome Odunze,WR35
6,Bo Nix,QB8
6,Mark Andrews,TE6
6,Travis Kelce,TE7
6,Kyler Murray,QB9
6,Tyrone Tracy Jr.,RB30
6,Stefon Diggs,WR36
6,Jakobi Meyers,WR37
6,Jaylen Warren,RB31
7,Evan Engram,TE8
7,Justin Fields,QB10
7,Dak Prescott,QB11
7,Jordan Addison,WR38
7,Chris Godwin,WR39
7,David Njoku,TE9
7,Brock Purdy,QB12
7,Jauan Jennings,WR40
7,Ricky Pearsall,WR41
7,Travis Etienne Jr.,RB32
7,Jordan Mason,RB33
7,Deebo Samuel Sr.,WR42
7,Jayden Reed,WR43
7,Justin Herbert,QB13
7,Khalil Shakir,WR44
7,Tucker Kraft,TE10
7,Caleb Williams,QB14
7,Josh Downs,WR45
7,Jared Goff,QB15
7,Drake Maye,QB16
7,Rhamondre Stevenson,RB34
7,Zach Charbonnet,RB35
7,Javonte Williams,RB36
7,Jordan Love,QB17
7,Emeka Egbuka,WR46
7,Michael Pittman Jr.,WR47
7,Cooper Kupp,WR48
7,Cam Skattebo,RB37
7,Tank Bigsby,RB38
7,Tyler Warren,TE11
7,J.K. Dobbins,RB39
7,Tyjae Spears,RB40
7,Jake Ferguson,TE12
7,Najee Harris,RB41
7,Trevor Lawrence,QB18
8,Dalton Kincaid,TE13
8,Darnell Mooney,WR49
8,C.J. Stroud,QB19
8,Dallas Goedert,TE14
8,Rachaad White,RB42
8,Brandon Aiyuk,WR50
8,Keon Coleman,WR51
8,Rashid Shaheed,WR52
8,J.J. McCarthy,QB20
8,Matthew Golden,WR53
8,Colston Loveland,TE15
8,Ray Davis,RB43
8,Christian Kirk,WR54
8,Quinshon Judkins,RB44
8,Tyler Allgeier,RB45
8,Jerome Ford,RB46
8,Austin Ekeler,RB47
8,Kyle Pitts Sr.,TE16
8,Tua Tagovailoa,QB21
8,Rashod Bateman,WR55
8,Jaydon Blue,RB48
8,Trey Benson,RB49
8,Cedric Tillman,WR56
8,Luther Burden III,WR57
8,Braelon Allen,RB50
8,Matthew Stafford,QB22
8,Hunter Henry,TE17
8,Jonnu Smith,TE18
8,Bryce Young,QB23
8,Michael Penix Jr.,QB24
8,Marvin Mims Jr.,WR58
8,Isaac Guerendo,RB51
9,Romeo Doubs,WR59
9,Rico Dowdle,RB52
9,Zach Ertz,TE19
9,Marquise Brown,WR60
9,Kyle Williams,WR61
9,Jaylen Wright,RB53
9,Tre' Harris,WR62
9,Adam Thielen,WR63
9,Nick Chubb,RB54
9,Roschon Johnson,RB55
9,Dylan Sampson,RB56
9,Jayden Higgins,WR64
9,Geno Smith,QB25
9,DeMario Douglas,WR65
9,Bhayshul Tuten,RB57
9,Wan'Dale Robinson,WR66
9,Jalen McMillan,WR67
9,Xavier Legette,WR68
9,Cameron Ward,QB26
9,Quentin Johnston,WR69
9,Brenton Strange,TE20
9,Isaiah Likely,TE21
9,Sam Darnold,QB27
9,Joshua Palmer,WR70
9,Blake Corum,RB58
9,Keenan Allen,WR71
9,Chig Okonkwo,TE22
9,Denver Broncos,DST1
9,MarShawn Lloyd,RB59
9,DeAndre Hopkins,WR72
9,Pat Freiermuth,TE23
9,Mike Gesicki,TE24
9,Cade Otton,TE25
9,Alec Pierce,WR73
9,Philadelphia Eagles,DST2
9,Mason Taylor,TE26
10,Jalen Coker,WR74
10,Pittsburgh Steelers,DST3
10,Minnesota Vikings,DST4
10,Aaron Rodgers,QB28
10,Jack Bech,WR75
10,Baltimore Ravens,DST5
10,Michael Wilson,WR76
10,Kyle Monangai,RB60
10,Darius Slayton,WR77
10,Dalton Schultz,TE27
10,Kendre Miller,RB61
10,Anthony Richardson Sr.,QB29
10,Justice Hill,RB62
10,Houston Texans,DST6
10,Miles Sanders,RB63
10,Buffalo Bills,DST7
10,Kansas City Chiefs,DST8
10,Detroit Lions,DST9
10,Brandon Aubrey,K1
10,Will Shipley,RB64
10,Jake Bates,K2
10,Kareem Hunt,RB65
10,Dontayvion Wicks,WR78
10,Adonai Mitchell,WR79
10,Los Angeles Rams,DST10
10,Cameron Dicker,K3
10,Wil Lutz,K4
10,Jaylin Noel,WR80
10,DJ Giddens,RB66
10,Chris Boswell,K5
10,Los Angeles Chargers,DST11
10,Seattle Seahawks,DST12
10,Ka'imi Fairbairn,K6
10,Green Bay Packers,DST13
10,Chase McLaughlin,K7
10,Andrei Iosivas,WR81
10,Ja'Tavion Sanders,TE28
10,Juwan Johnson,TE29
10,Calvin Austin III,WR82
10,Keaton Mitchell,RB67
10,Woody Marks,RB68
10,Russell Wilson,QB30
10,New York Jets,DST14
10,Harrison Butker,K8
10,Tyler Lockett,WR83
10,Pat Bryant,WR84
10,Tyler Bass,K9
10,Evan McPherson,K10
10,Elijah Arroyo,TE30
10,Tahj Brooks,RB69
10,Elic Ayomanor,WR85
10,Jake Elliott,K11
10,San Francisco 49ers,DST15
10,Jaleel McLaughlin,RB70
10,Devin Neal,RB71
10,Jarquez Hunter,RB72
11,Jason Sanders,K12
11,Devaughn Vele,WR86
11,Brashard Smith,RB73
11,Cole Kmet,TE31
11,Diontae Johnson,WR87
11,Younghoe Koo,K13
11,Raheem Mostert,RB74
11,Dallas Cowboys,DST16
11,Jalen Royals,WR88
11,Elijah Mitchell,RB75
11,Ollie Gordon II,RB76
11,Sean Tucker,RB77
11,Roman Wilson,WR89
11,Tampa Bay Buccaneers,DST17
11,Trevor Etienne,RB78
11,Dyami Brown,WR90
11,Kenneth Gainwell,RB79
11,Jalen Tolbert,WR91
11,Nick Westbrook-Ikhine,WR92
11,Audric Estime,RB80
11,Elijah Moore,WR93
11,Brandin Cooks,WR94
11,Joshua Karty,K14
11,Antonio Gibson,RB81
11,Daniel Jones,QB31
11,Ty Johnson,RB82
11,Devin Singletary,RB83
11,Jacory Croskey-Merritt,RB84
11,Noah Gray,TE32
11,Matt Gay,K15
11,Malik Washington,WR95
11,Jordan James,RB85
11,Kayshon Boutte,WR96
11,Joe Flacco,QB32
11,Cleveland Browns,DST18
11,Theo Johnson,TE33
11,Tre Tucker,WR97
11,Dameon Pierce,RB86
11,Tyler Shough,QB33
11,Harold Fannin Jr.,TE34
11,Isaiah Davis,RB87
11,Khalil Herbert,RB88
11,Jalen Nailor,WR98
11,Tory Horton,WR99
11,Chicago Bears,DST19
11,Tim Patrick,WR100
11,Parker Washington,WR101
11,Amari Cooper,WR102
11,Jaxson Dart,QB34
11,Sincere McCormick,RB89
11,Kimani Vidal,RB90
11,Darren Waller,TE35
11,Dont'e Thornton Jr.,WR103
11,Taysom Hill,TE36
11,Terrance Ferguson,TE37
11,Daniel Carlson,K16
11,Luke McCaffrey,WR104
12,Xavier Restrepo,WR105
12,Isaac TeSlaa,WR106
12,Damien Martinez,RB91
12,Noah Fant,TE38
12,Christian Watson,WR107
12,Chris Brooks,RB92
12,Ty Chandler,RB93
12,Emanuel Wilson,RB94
12,Shedeur Sanders,QB35
12,Chris Rodriguez Jr.,RB95
12,Phil Mafah,RB96
12,Jermaine Burton,WR108
12,Will Reichard,K17
12,Raheim Sanders,RB97
12,Tez Johnson,WR109
12,Zack Moss,RB98
12,Oronde Gadsden II,TE39
12,Gabe Davis,WR110
12,Tyler Higbee,TE40
12,Jason Myers,K18
12,New England Patriots,DST20
12,Zamir White,RB99
12,Ben Sinnott,TE41
12,Will Dissly,TE42
12,Arizona Cardinals,DST21
12,Tutu Atwell,WR111
12,Miami Dolphins,DST22
12,Tyler Loop,K19
12,Tyler Conklin,TE43
12,A.J. Dillon,RB100
12,Ray-Ray McCloud III,WR112
12,Samaje Perine,RB101
12,Spencer Rattler,QB36
12,Josh Reynolds,WR113
12,Gus Edwards,RB102
12,Demarcus Robinson,WR114
12,Tai Felton,WR115
12,Jalen Milroe,QB37
12,AJ Barner,TE44
12,Michael Mayer,TE45
12,Jordan Whittington,WR116
12,Noah Brown,WR117
12,Cam Akers,RB103
12,Dawson Knox,TE46
12,Marquez Valdes-Scantling,WR118
12,John Metchie III,WR119
12,KaVontae Turpin,WR120
13,Justin Tucker,K20
13,Troy Franklin,WR121
13,Savion Williams,WR122
13,New York Giants,DST23
13,Luke Musgrave,TE47
13,Austin Hooper,TE48
13,Kirk Cousins,QB38
13,LeQuint Allen Jr.,RB104
13,Jameis Winston,QB39
13,Donovan Edwards,RB105
13,Curtis Samuel,WR123
13,Jake Moody,K21
13,Washington Commanders,DST24
13,Isaiah Bond,WR124
13,Mack Hollins,WR125
13,Emari Demercado,RB106
13,Dillon Gabriel,QB40
13,Cam Little,K22
13,Brandon McManus,K23
13,Chimere Dike,WR126
13,Jaylin Lane,WR127
13,KeAndre Lambert-Smith,WR128
13,Tank Dell,WR129
13,Kalel Mullings,RB107
13,Luke Schoonmaker,TE49
13,Gunnar Helm,TE50
13,Greg Dortch,WR130
13,Eddy Pineiro,K24
13,Allen Lazard,WR131
13,Tommy Tremble,TE51
13,Kenny Pickett,QB41
13,Robert Woods,WR132
13,Foster Moreau,TE52
13,Matt Prater,K25
13,Tyrod Taylor,QB42
13,Indianapolis Colts,DST25
13,Trey Sermon,RB108
13,Van Jefferson,WR133
13,Craig Reynolds,RB109
13,Antwane Wells Jr.,WR134
13,Jahan Dotson,WR135
13,Theo Wease Jr.,WR136
13,Jacob Cowing,WR137
13,Olamide Zaccheaus,WR138
13,Hunter Renfrow,WR139
13,Atlanta Falcons,DST26
13,Kendrick Bourne,WR140
13,Ja'Quinden Jackson,RB110
13,Cade Stover,TE53
13,Jalin Hyatt,WR141
13,Kyle Juszczyk,RB111
13,Zay Jones,WR142
13,Josh Oliver,TE54
13,Jeremy Ruckert,TE55
13,Cincinnati Bengals,DST27
13,Blake Grupe,K26
13,Aidan O'Connell,QB43
13,Greg Dulcich,TE56
13,JuJu Smith-Schuster,WR143
13,Joe Milton III,QB44
13,Clyde Edwards-Helaire,RB112
13,Grant Calcaterra,TE57
13,Jimmy Garoppolo,QB45
13,Chad Ryland,K27
13,KhaDarel Hodge,WR144
14,Mason Rudolph,QB46
14,Jonathan Mingo,WR145
14,New Orleans Saints,DST28
14,Sam Howell,QB47
14,Elijah Higgins,TE58
14,Las Vegas Raiders,DST29
14,Stone Smartt,TE59
14,Malik Willis,QB48
14,Julian Hill,TE60
14,Cairo Santos,K28
14,Devontez Walker,WR146
14,Malachi Corley,WR147
14,Jake Browning,QB49
14,Arian Smith,WR148
14,Marcus Mariota,QB50
14,Jeremy McNichols,RB113
14,Jacksonville Jaguars,DST30
14,D'Ernest Johnson,RB114
14,Dare Ogunbowale,RB115
14,Alec Ingold,RB116
14,Jonathon Brooks,RB117
14,Ja'Lynn Polk,WR149
14,Pierre Strong Jr.,RB118
14,Gardner Minshew II,QB51
14,Zach Wilson,QB52
14,Tyler Goodson,RB119
14,Michael Gallup,WR150
14,Mac Jones,QB53
14,Darnell Washington,TE61
14,Mitchell Evans,TE62
14,Graham Gano,K29
14,Deshaun Watson,QB54
14,Tennessee Titans,DST31
14,Kalif Raymond,WR151
14,Marcus Yarns,RB120
14,Carolina Panthers,DST32
14,Nick Folk,K30
14,Tyler Badie,RB121
14,Cooper Rush,QB55
14,Adam Trautman,TE63
14,Jamari Thrash,WR152
14,Chris Tyree,RB122
14,K.J. Osborn,WR153
14,Luke Lachey,TE64
14,Julius Chestnut,RB123
14,Josh Whyle,TE65
14,Andy Dalton,QB56
14,John Bates,TE66
14,Jake Bobo,WR154
14,Jacoby Brissett,QB57
14,Taylor Heinicke,QB58
14,Kyle Trask,QB59
14,Joey Slye,K31
14,Javon Baker,WR155
14,Will Howard,QB60
14,Jarrett Stidham,QB61
14,David Bell,WR156
14,Mitchell Trubisky,QB62
14,Spencer Shrader,K32
14,Jordan Watkins,WR157
14,Michael Carter,RB124
14,Cordarrelle Patterson,RB125
14,Sione Vaki,RB126
14,Jelani Woods,TE67
14,Tanner Hudson,TE68
14,Johnny Mundt,TE69
14,Jake Haener,QB63
14,Treylon Burks,WR158
14,Tyler Johnson,WR159
14,Cedrick Wilson Jr.,WR160
14,Tanner McKee,QB64
14,Kaden Prather,WR161
14,Hassan Haskins,RB127
15,Bub Means,WR162
15,Efton Chism III,WR163
15,Nick Mullens,QB65
15,Julian Fleming,WR164
15,Colby Parkinson,TE70
15,Brock Wright,TE71
15,Jimmy Horn Jr.,WR165
15,DeeJay Dallas,RB128
15,Joshua Dobbs,QB66
15,DJ Chark Jr.,WR166
15,Kylen Granson,TE72
15,Deuce Vaughn,RB129
15,Derius Davis,WR167
15,Drew Sample,TE73
15,Quinn Ewers,QB67
15,Charlie Woerner,TE74
15,Hunter Long,TE75
15,Payne Durham,TE76
15,Daniel Bellinger,TE77
15,Darrynton Evans,RB130
15,Ricky White III,WR168
15,Brevyn Spann-Ford,TE78
15,Carson Steele,RB131
15,Ian Thomas,TE79
15,Durham Smythe,TE80
15,Harrison Bryant,TE81
15,Patrick Taylor Jr.,RB132
15,Jared Wiley,TE82
15,Michael Burton,RB133
15,Johnny Wilson,WR169
15,Mecole Hardman Jr.,WR170
15,Eric Saubert,TE83
15,Luke Farrell,TE84
15,Travis Homer,RB134
15,C.J. Ham,RB135
15,Hunter Luepke,RB136
15,David Moore,WR171
15,Nick Nash,WR172
15,Hendon Hooker,QB68
15,Michael Woods II,WR173
15,Teagan Quitoriano,TE85
15,Rasheen Ali,RB137
15,Thomas Fidone II,TE86
15,Pharaoh Brown,TE87
15,Ainias Smith,WR174
15,Patrick Ricard,RB138
16,Simi Fehoko,WR175
16,Trent Sherfield Sr.,WR176
16,Tylan Wallace,WR177
16,Tim Jones,WR178
16,Eric Gray,RB139
16,Tyson Bagent,QB69
16,Bo Melton,WR179
16,Carlos Washington Jr.,RB140
16,DeAndre Carter,WR180
16,Troy Hairston II,RB141
16,Jawhar Jordan,RB142
16,Ronnie Rivers,RB143
16,Velus Jones Jr.,WR181
16,Israel Abanikanda,RB144
16,Dylan Laube,RB145
16,Frank Gore Jr.,RB146
16,Jakob Johnson,RB147